  Freq. No. =   1,  f = 6.0415e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( -2.957584e+06 , -4.419648e+06 ) 
512 ( -1.848662e+06 , 1.804358e+06 ) 
513 ( 2.655546e+05 , 3.234228e+06 ) 
514 ( -1.984929e+06 , 1.239518e+06 ) 
515 ( -1.588225e+06 , -5.691923e+05 ) 
516 ( -1.406130e+06 , 1.437780e+06 ) 
517 ( -1.742696e+06 , 4.074684e+06 ) 
518 ( 1.142018e+06 , 2.735385e+06 ) 
519 ( -4.569297e+05 , 3.054883e+05 ) 
520 ( -1.126122e+06 , 1.530293e+06 ) 
521 ( -7.266188e+05 , 3.656529e+06 ) 
522 ( -1.298481e+06 , 2.194304e+06 ) 
523 ( 9.949613e+05 , 1.915387e+06 ) 
524 ( 5.830123e+06 , 3.033277e+06 ) 
525 ( 2.457067e+05 , 1.721715e+06 ) 
526 ( 9.062686e+05 , -7.493232e+05 ) 
527 ( -8.348689e+06 , -2.001655e+05 ) 
528 ( -1.237516e+06 , 1.314966e+06 ) 
529 ( 1.265636e+06 , -1.202609e+06 ) 
530 ( -8.166630e+06 , -3.291594e+06 ) 
531 ( 4.577855e+06 , -2.641157e+06 ) 
532 ( 3.962975e+06 , -1.882927e+06 ) 
533 ( 3.810017e+05 , -2.685627e+05 ) 
534 ( 8.024514e+06 , 2.287033e+05 ) 
535 ( -9.342598e+06 , -1.434540e+06 ) 
536 ( -5.192057e+06 , -2.834134e+06 ) 
537 ( -1.908457e+06 , 1.755111e+06 ) 
538 ( 2.975664e+05 , 1.710514e+06 ) 
539 ( 2.366652e+06 , 2.369884e+06 ) 
540 ( 6.586791e+06 , 1.631774e+06 ) 
541 ( -7.093650e+05 , -7.058892e+05 ) 
542 ( -1.260629e+06 , -1.584627e+05 ) 
543 ( -3.966354e+06 , 7.780714e+05 ) 
544 ( -1.406332e+06 , 7.718039e+05 ) 
545 ( -5.080734e+04 , 1.842859e+06 ) 
546 ( 1.283237e+06 , 1.906356e+06 ) 
547 ( 1.613694e+06 , 4.957654e+05 ) 
548 ( 2.327318e+05 , 3.611329e+05 ) 
549 ( -3.190857e+04 , 2.886635e+06 ) 
550 ( 4.053376e+05 , 1.312501e+06 ) 
551 ( 1.121559e+06 , 5.438899e+05 ) 
552 ( 1.341198e+06 , 2.139843e+06 ) 
553 ( 5.187454e+05 , 2.407224e+06 ) 
554 ( -1.024761e+06 , 1.736060e+05 ) 
555 ( -1.728226e+06 , -7.794577e+05 ) 
556 ( -1.681805e+05 , 7.406205e+05 ) 
557 ( -1.660753e+06 , 1.449427e+06 ) 
558 ( 2.485464e+05 , -4.980470e+05 ) 
559 ( 1.705608e+06 , -2.820092e+05 ) 
560 ( -6.113605e+05 , 4.945625e+04 ) 
561 ( 9.370226e+05 , 2.082135e+06 ) 
562 ( 2.233539e+06 , 1.567365e+06 ) 
563 ( 5.488230e+05 , -8.101588e+05 ) 
564 ( 2.030620e+06 , 2.804049e+06 ) 
565 ( 6.164832e+05 , 4.103461e+06 ) 
566 ( 1.722497e+06 , 2.368523e+06 ) 
567 ( 3.954489e+06 , 2.463223e+05 ) 
568 ( 2.938583e+06 , 2.277317e+06 ) 
569 ( 3.919687e+05 , 1.312878e+06 ) 
570 ( 2.733042e+05 , 3.543247e+05 ) 
571 ( -4.099779e+06 , -8.645643e+05 ) 
572 ( 5.891559e+04 , 1.352879e+06 ) 
573 ( 1.407866e+06 , 2.030416e+06 ) 
574 ( 1.456294e+06 , 1.830085e+06 ) 
575 ( 2.182902e+06 , 1.007028e+06 ) 
576 ( 1.850821e+06 , 9.078241e+05 ) 
577 ( -1.080572e+06 , 2.302262e+06 ) 
578 ( 3.574588e+05 , 2.008773e+06 ) 
579 ( -3.800585e+05 , 4.953412e+05 ) 
580 ( 2.787031e+05 , 1.736243e+06 ) 
581 ( 1.360090e+06 , 2.987767e+06 ) 
582 ( 1.439893e+06 , 2.087377e+06 ) 
583 ( 2.186306e+06 , 1.505256e+06 ) 
584 ( 1.603227e+06 , 2.467521e+06 ) 
585 ( -2.407277e+06 , 1.895419e+06 ) 
586 ( -2.212486e+06 , 1.478826e+06 ) 
587 ( -6.488973e+05 , -2.955038e+04 ) 
588 ( -2.522602e+05 , 1.327999e+06 ) 
589 ( -4.156235e+05 , 4.284664e+06 ) 
590 ( 1.037695e+06 , 2.823246e+06 ) 
591 ( 1.527281e+06 , 1.413093e+06 ) 
592 ( -1.225061e+06 , 2.477069e+06 ) 
593 ( 6.805955e+05 , 1.714139e+06 ) 
594 ( -2.052632e+05 , 9.125436e+04 ) 
595 ( -1.307536e+06 , -4.859101e+05 ) 
596 ( 8.113502e+05 , 1.645037e+06 ) 
597 ( 2.106683e+06 , 7.966823e+05 ) 
598 ( 3.400606e+06 , 2.295172e+06 ) 
599 ( 4.845984e+05 , 3.138197e+06 ) 
600 ( 6.749832e+05 , 7.423758e+05 ) 
601 ( 2.128871e+05 , -5.461762e+05 ) 
602 ( -6.900426e+05 , 9.263794e+05 ) 
603 ( 1.811470e+06 , 3.025655e+06 ) 
604 ( 3.152427e+06 , 1.989542e+06 ) 
605 ( -1.051983e+06 , 3.639240e+05 ) 
606 ( 1.940994e+05 , 2.856545e+06 ) 
607 ( -1.669497e+06 , 4.161931e+06 ) 
608 ( -1.953755e+06 , 1.344483e+06 ) 
609 ( 1.580335e+06 , 1.758728e+06 ) 
610 ( 9.788780e+05 , 1.438416e+06 ) 
611 ( 2.142928e+06 , 1.856108e+06 ) 
612 ( 1.857427e+06 , 2.755829e+06 ) 
613 ( -3.839942e+06 , 5.188785e+05 ) 
614 ( -1.553753e+04 , 2.228693e+06 ) 
615 ( 2.087315e+04 , 2.440432e+06 ) 
616 ( -8.101421e+05 , 1.341530e+06 ) 
617 ( 4.447891e+06 , -6.374287e+05 ) 
618 ( 3.246707e+06 , 1.255823e+06 ) 
619 ( 1.768862e+06 , 3.157999e+06 ) 
620 ( 2.271876e+06 , 2.260040e+06 ) 
621 ( -2.550412e+06 , -2.483247e+05 ) 
622 ( -6.345822e+05 , 1.521062e+06 ) 
623 ( 6.717765e+05 , 2.071712e+06 ) 
624 ( 1.482057e+06 , 1.021410e+06 ) 
625 ( 9.330870e+05 , 2.116150e+06 ) 
626 ( -3.704144e+05 , 1.185597e+06 ) 
627 ( -1.553695e+06 , 8.079054e+05 ) 
628 ( -7.295032e+05 , 1.632102e+06 ) 
629 ( -1.301336e+06 , 1.191924e+06 ) 
630 ( 7.485305e+05 , 1.294365e+06 ) 
631 ( 1.697219e+06 , 1.194855e+06 ) 
632 ( -1.217208e+04 , 1.107316e+06 ) 
633 ( 1.400243e+06 , 1.370034e+05 ) 
634 ( -1.639933e+05 , 2.871741e+04 ) 
635 ( -1.095040e+06 , 1.523434e+06 ) 
636 ( 5.937750e+05 , 1.041555e+06 ) 
637 ( 3.850170e+05 , -7.015806e+03 ) 
638 ( -8.983260e+05 , 1.384124e+06 ) 
639 ( -9.130346e+05 , 1.652651e+06 ) 
640 ( -4.985506e+05 , 2.346777e+04 ) 
641 ( -2.005601e+06 , 1.211349e+04 ) 
642 ( -8.226168e+05 , 1.914082e+06 ) 
643 ( 1.128030e+05 , 3.754358e+06 ) 
644 ( -1.352917e+06 , 1.972883e+06 ) 
645 ( 3.348064e+06 , 8.141887e+05 ) 
646 ( 1.238132e+06 , 2.605835e+06 ) 
647 ( -3.569007e+05 , 2.380249e+06 ) 
648 ( 1.535676e+05 , 1.809891e+06 ) 
649 ( 5.984810e+06 , 2.841002e+06 ) 
650 ( 3.591768e+05 , -1.049352e+06 ) 
651 ( 1.583325e+06 , 4.021517e+05 ) 
652 ( -1.233971e+06 , 1.544424e+06 ) 
653 ( -3.528626e+06 , -3.581319e+06 ) 
654 ( -1.076249e+07 , -4.090873e+06 ) 
655 ( -2.467684e+06 , -3.286540e+06 ) 
656 ( -5.315928e+06 , -3.584485e+06 ) 
657 ( 3.751682e+06 , -1.684719e+06 ) 
658 ( 5.055448e+06 , -1.336870e+06 ) 
659 ( 1.245131e+05 , 3.868402e+05 ) 
660 ( -1.507810e+06 , -2.677519e+06 ) 
661 ( -1.210767e+07 , -1.634509e+06 ) 
662 ( 3.197238e+06 , -5.805584e+04 ) 
663 ( -1.283421e+05 , 3.795938e+05 ) 
664 ( -8.246252e+05 , -1.436495e+06 ) 
665 ( 1.412831e+06 , 9.761769e+05 ) 
666 ( -3.657155e+05 , 1.316923e+06 ) 
667 ( 7.945360e+05 , 2.790198e+06 ) 
668 ( 1.471544e+06 , 1.165044e+06 ) 
669 ( -1.643243e+06 , -4.053081e+05 ) 
670 ( -1.886615e+06 , -3.059544e+05 ) 
671 ( -2.064036e+06 , 4.802452e+05 ) 
672 ( -1.602867e+06 , 3.494544e+05 ) 
673 ( 1.019666e+06 , 6.893303e+05 ) 
674 ( -1.164654e+05 , 8.324590e+05 ) 
675 ( -8.609642e+04 , 1.409205e+06 ) 
676 ( -5.927700e+05 , 2.512502e+05 ) 
677 ( -2.038215e+05 , -2.187468e+05 ) 
678 ( 6.838787e+05 , 9.438318e+05 ) 
679 ( -1.358985e+06 , 2.014626e+06 ) 
680 ( -5.112164e+05 , 6.906343e+05 ) 
681 ( 2.387160e+06 , 4.422164e+05 ) 
682 ( 1.344048e+06 , 7.583166e+04 ) 
683 ( 1.833005e+06 , 1.674635e+06 ) 
684 ( 2.235561e+06 , 1.078618e+06 ) 
685 ( -2.619720e+06 , -4.615036e+05 ) 
686 ( -3.036687e+06 , 2.105886e+06 ) 
687 ( -1.358686e+06 , 1.698445e+06 ) 
688 ( -7.172074e+05 , -2.186589e+05 ) 
689 ( -1.706076e+06 , 3.980395e+06 ) 
690 ( -1.312129e+06 , 2.542849e+06 ) 
691 ( 1.117825e+06 , 3.074530e+06 ) 
692 ( -2.430045e+06 , 3.599018e+06 ) 
693 ( 1.452912e+06 , 2.614175e+06 ) 
694 ( 1.984539e+06 , 5.735811e+04 ) 
695 ( -1.480783e+06 , -4.644340e+06 ) 
696 ( -4.041023e+05 , 6.265312e+05 ) 
697 ( -1.108270e+06 , 4.401778e+06 ) 
698 ( -1.368652e+06 , 2.287390e+06 ) 
699 ( 2.721572e+06 , 6.563240e+05 ) 
700 ( 2.079965e+06 , 1.612474e+06 ) 
701 ( 9.768088e+05 , 4.999105e+05 ) 
702 ( 1.149570e+06 , -1.855367e+06 ) 
703 ( -4.132480e+06 , -2.489932e+06 ) 
704 ( -2.103877e+06 , 4.567513e+05 ) 
705 ( 6.522173e+05 , 2.110610e+06 ) 
706 ( -1.330589e+06 , 2.621840e+06 ) 
707 ( 1.605194e+06 , 1.206054e+06 ) 
708 ( 2.254448e+06 , -5.999619e+05 ) 
709 ( -7.787031e+05 , 2.793132e+06 ) 
710 ( -1.129503e+06 , 5.084837e+05 ) 
711 ( -3.526710e+06 , 4.092461e+04 ) 
712 ( -2.939104e+06 , 2.443988e+06 ) 
713 ( 8.274529e+05 , 2.087703e+06 ) 
714 ( 1.868058e+05 , 2.303572e+06 ) 
715 ( 1.568209e+06 , 1.078300e+06 ) 
716 ( 6.234021e+05 , 6.703534e+05 ) 
717 ( -1.713042e+06 , 6.815971e+05 ) 
718 ( -4.984744e+05 , 3.587971e+05 ) 
719 ( -1.012481e+06 , 1.908841e+06 ) 
720 ( -1.027871e+06 , 2.118176e+06 ) 
721 ( 2.300408e+06 , 1.317848e+06 ) 
722 ( 1.430381e+06 , 2.797005e+06 ) 
723 ( 1.022020e+06 , 1.497170e+06 ) 
724 ( 1.090415e+06 , 4.548028e+05 ) 
725 ( -1.822124e+06 , 2.641004e+06 ) 
726 ( -2.285603e+06 , 2.326835e+06 ) 
727 ( -1.352599e+06 , 2.699812e+06 ) 
728 ( -2.394659e+05 , 3.445815e+06 ) 
729 ( -1.066913e+05 , 2.167768e+06 ) 
730 ( 2.531770e+06 , 1.907275e+06 ) 
731 ( 1.431955e+06 , 5.228215e+05 ) 
732 ( -1.086704e+06 , 1.692827e+06 ) 
733 ( 1.722169e+06 , 3.586223e+06 ) 
734 ( 5.128860e+05 , 1.045007e+06 ) 
735 ( 6.039036e+05 , -4.104837e+05 ) 
736 ( 2.898619e+06 , 2.030763e+06 ) 
737 ( -1.087654e+06 , 1.584004e+06 ) 
738 ( -1.467476e+06 , 7.659930e+05 ) 
739 ( -1.162275e+06 , 2.035624e+05 ) 
740 ( -7.604123e+05 , 5.496725e+05 ) 
741 ( -1.611560e+06 , 8.936010e+05 ) 
742 ( -2.366198e+05 , 7.286649e+04 ) 
743 ( 6.756430e+05 , 1.615630e+06 ) 
744 ( -1.151508e+06 , 9.537139e+05 ) 
745 ( 2.373861e+06 , 1.183641e+06 ) 
746 ( 1.994759e+06 , 1.541256e+06 ) 
747 ( 3.566552e+05 , 2.556889e+06 ) 
748 ( 1.030792e+06 , 2.300667e+06 ) 
749 ( 1.153615e+06 , -4.825863e+05 ) 
750 ( 2.709573e+06 , 2.790400e+06 ) 
751 ( 6.388785e+05 , 2.295766e+06 ) 
752 ( 1.916664e+06 , 1.244745e+06 ) 
753 ( 2.834028e+06 , 2.621612e+06 ) 
754 ( 1.055072e+06 , 2.545008e+06 ) 
755 ( 8.570410e+05 , 2.067668e+06 ) 
756 ( 3.094129e+06 , 3.479846e+06 ) 
757 ( -2.112748e+05 , 1.662995e+06 ) 
758 ( -8.902104e+05 , 2.339680e+06 ) 
759 ( -2.710338e+06 , 1.197258e+06 ) 
760 ( -7.746792e+05 , 1.884912e+06 ) 
761 ( 8.763278e+05 , 3.198117e+06 ) 
762 ( 4.700039e+05 , 1.791053e+06 ) 
763 ( 8.083793e+05 , 9.915098e+05 ) 
764 ( 2.311208e+05 , 2.683954e+06 ) 
765 ( -9.536201e+05 , 1.242142e+06 ) 
766 ( 1.070212e+06 , 1.624199e+06 ) 
767 ( 8.534419e+04 , 7.807745e+05 ) 
768 ( -1.557702e+05 , 1.278420e+06 ) 
769 ( 6.658426e+05 , 1.843339e+06 ) 
770 ( 2.749082e+05 , 1.110357e+06 ) 
771 ( 2.668662e+06 , 6.167879e+05 ) 
772 ( 2.016144e+06 , 1.768521e+06 ) 
773 ( -2.300830e+06 , 2.628815e+06 ) 
774 ( -8.049627e+05 , 2.861917e+06 ) 
775 ( -1.735908e+06 , 8.490711e+05 ) 
776 ( -1.967833e+06 , 1.256199e+06 ) 
777 ( 6.959031e+05 , 2.157167e+06 ) 
778 ( -2.316966e+06 , 3.753581e+05 ) 
779 ( 3.195355e+05 , 8.213222e+05 ) 
780 ( 2.884766e+06 , 2.812112e+06 ) 
781 ( -7.096860e+05 , 2.240097e+06 ) 
782 ( 5.182410e+06 , 3.842867e+06 ) 
783 ( -1.398113e+06 , 4.429302e+05 ) 
784 ( -5.432904e+06 , 2.016948e+05 ) 
785 ( 7.332802e+06 , 2.474822e+06 ) 
786 ( -9.323692e+06 , -1.703131e+06 ) 
787 ( 1.096164e+06 , 3.297963e+06 ) 
788 ( 1.323453e+07 , 4.609410e+06 ) 
789 ( -9.198513e+06 , -7.501225e+06 ) 
790 ( 3.693379e+05 , -5.705421e+06 ) 
791 ( 6.620923e+05 , -5.157590e+06 ) 
792 ( -3.508573e+06 , -5.920528e+06 ) 
793 ( 4.273119e+06 , 2.333963e+04 ) 
794 ( 2.405626e+06 , 2.375338e+06 ) 
795 ( 3.581672e+06 , 3.685541e+06 ) 
796 ( 5.502963e+06 , -1.862465e+06 ) 
797 ( -1.053281e+07 , -1.907501e+06 ) 
798 ( 5.509977e+06 , -1.411902e+05 ) 
799 ( -1.128374e+06 , 1.463390e+06 ) 
800 ( -3.063268e+06 , 1.277442e+06 ) 
801 ( 2.132100e+06 , 1.960471e+06 ) 
802 ( 7.542765e+05 , 3.296372e+06 ) 
803 ( 2.724264e+06 , 3.192009e+06 ) 
804 ( 4.249520e+06 , 1.322588e+06 ) 
805 ( -3.267248e+06 , -3.704416e+05 ) 
806 ( -5.675189e+05 , -1.113570e+06 ) 
807 ( -1.014639e+05 , 3.964029e+05 ) 
808 ( -1.128609e+06 , 1.948865e+06 ) 
809 ( 1.741177e+06 , 8.657724e+05 ) 
810 ( 1.570713e+06 , 2.232582e+06 ) 
811 ( 1.444080e+06 , 1.110395e+06 ) 
812 ( 1.192887e+06 , -6.124679e+05 ) 
813 ( -8.871583e+05 , 2.247204e+06 ) 
814 ( -7.982474e+05 , 9.927141e+05 ) 
815 ( -4.157855e+04 , 8.208158e+05 ) 
816 ( 6.330192e+05 , 2.498220e+06 ) 
817 ( -1.932709e+05 , 1.159082e+06 ) 
818 ( -3.965897e+05 , 9.033165e+05 ) 
819 ( -2.000563e+05 , 7.428637e+05 ) 
820 ( -5.984087e+05 , 6.290820e+05 ) 
821 ( -6.641829e+05 , 1.550128e+06 ) 
822 ( 8.012768e+05 , 9.276173e+04 ) 
823 ( 8.824467e+05 , -4.032022e+05 ) 
824 ( -5.949784e+04 , 7.345740e+05 ) 
825 ( 9.744357e+05 , -5.057153e+04 ) 
826 ( -1.025800e+06 , 8.701808e+05 ) 
827 ( -3.326172e+05 , 2.293235e+06 ) 
828 ( 9.997150e+05 , 2.444476e+05 ) 
829 ( -1.792964e+06 , -9.593274e+05 ) 
830 ( -2.920395e+06 , 7.627345e+05 ) 
831 ( -3.074143e+06 , 3.264294e+06 ) 
832 ( -2.411647e+06 , 7.911574e+05 ) 
833 ( -3.993118e+05 , 1.047130e+06 ) 
834 ( 2.501173e+06 , 2.918394e+06 ) 
835 ( 2.282658e+06 , 2.814168e+06 ) 
836 ( -1.096841e+06 , 1.414737e+06 ) 
837 ( 2.001190e+06 , 2.744848e+06 ) 
838 ( 1.118253e+06 , 1.628754e+06 ) 
839 ( 5.568096e+05 , -1.318077e+05 ) 
840 ( 2.977393e+06 , 2.895448e+06 ) 
841 ( -5.227789e+05 , 2.153231e+06 ) 
842 ( -1.157897e+06 , 1.248562e+06 ) 
843 ( 2.305887e+06 , 1.065934e+06 ) 
844 ( 2.883467e+05 , 1.550362e+06 ) 
845 ( -1.697693e+06 , 1.519856e+06 ) 
846 ( -2.219975e+06 , 4.759575e+05 ) 
847 ( -3.536833e+06 , 1.400471e+06 ) 
848 ( -2.705008e+06 , 1.058224e+06 ) 
849 ( -5.524440e+05 , 1.038929e+05 ) 
850 ( -1.111704e+06 , -7.916299e+05 ) 
851 ( 1.363433e+06 , -1.078177e+05 ) 
852 ( -8.126330e+05 , -2.302729e+05 ) 
853 ( -2.608927e+06 , 7.216770e+05 ) 
854 ( 3.881681e+04 , 1.773750e+06 ) 
855 ( -3.360672e+04 , 2.509579e+06 ) 
856 ( -1.755312e+06 , 9.751370e+04 ) 
857 ( 1.189885e+06 , -1.121064e+05 ) 
858 ( 2.706644e+05 , -9.488231e+05 ) 
859 ( 1.866800e+06 , 5.682213e+05 ) 
860 ( 1.486557e+06 , 1.138368e+06 ) 
861 ( -7.065293e+05 , 5.154965e+05 ) 
862 ( -1.248090e+06 , 2.297717e+06 ) 
863 ( -2.809986e+06 , 2.124104e+06 ) 
864 ( -1.395269e+06 , -4.376545e+05 ) 
865 ( 2.527019e+06 , 1.451251e+05 ) 
866 ( 7.163813e+05 , -8.788324e+05 ) 
867 ( -2.584027e+05 , 1.725852e+06 ) 
868 ( 2.912296e+05 , 2.132758e+06 ) 
869 ( -5.213469e+05 , 1.299009e+05 ) 
870 ( 7.885392e+05 , 2.348997e+06 ) 
871 ( -9.963107e+05 , 1.412232e+06 ) 
872 ( -1.741956e+05 , -1.010779e+06 ) 
873 ( 1.226934e+06 , 5.911432e+05 ) 
874 ( 8.124887e+05 , -7.862679e+05 ) 
875 ( 2.948254e+06 , 2.863316e+06 ) 
876 ( 2.192265e+06 , 2.891848e+06 ) 
877 ( -2.175943e+06 , -6.684600e+05 ) 
878 ( -2.886529e+06 , 1.658346e+06 ) 
879 ( -2.841335e+06 , -3.200552e+05 ) 
880 ( -1.521506e+06 , -1.973424e+06 ) 
881 ( 4.992964e+05 , 3.992945e+06 ) 
882 ( 2.975638e+05 , 2.345301e+06 ) 
883 ( -4.489523e+05 , 3.250017e+06 ) 
884 ( -1.712594e+06 , 3.848949e+06 ) 
885 ( 1.998009e+06 , -2.113736e+06 ) 
886 ( 2.542574e+03 , 1.358743e+06 ) 
887 ( -9.388607e+05 , 5.549700e+05 ) 
888 ( 6.770358e+05 , 3.935352e+05 ) 
889 ( 9.633990e+05 , 5.004416e+06 ) 
890 ( -2.120621e+06 , 3.610543e+06 ) 
891 ( -2.671841e+06 , 2.485568e+06 ) 
892 ( -9.163551e+05 , 3.413464e+06 ) 
893 ( -1.253296e+06 , 1.607478e+06 ) 
894 ( -5.549436e+05 , 1.432443e+05 ) 
895 ( 3.141110e+05 , -1.054973e+06 ) 
896 ( -1.851538e+06 , 1.797728e+06 ) 
897 ( 1.111111e+06 , 2.281079e+06 ) 
898 ( -1.296062e+06 , 6.845207e+05 ) 
899 ( -3.121251e+06 , 8.127015e+05 ) 
900 ( -7.987695e+05 , 6.937959e+05 ) 
901 ( 7.125519e+05 , 3.941777e+05 ) 
902 ( 1.036343e+06 , 9.055635e+05 ) 
903 ( 6.210001e+05 , -2.589798e+05 ) 
904 ( -4.712087e+05 , 6.818467e+04 ) 
905 ( 1.040574e+05 , 1.482948e+06 ) 
906 ( -2.243633e+06 , 1.153138e+06 ) 
907 ( -1.915156e+06 , 3.040241e+06 ) 
908 ( 9.758497e+04 , 1.950335e+06 ) 
909 ( -1.195682e+05 , -2.226333e+05 ) 
910 ( 9.875739e+05 , 6.095061e+04 ) 
911 ( -2.122145e+05 , -8.570842e+05 ) 
912 ( -1.828695e+06 , -2.503755e+05 ) 
913 ( 8.298450e+04 , 1.434321e+06 ) 
914 ( -5.658008e+05 , 2.124048e+06 ) 
915 ( 3.279801e+05 , 3.727303e+06 ) 
916 ( 1.081955e+06 , 1.665293e+06 ) 
917 ( 5.027952e+05 , -5.631993e+05 ) 
918 ( 4.459329e+05 , 7.171022e+04 ) 
919 ( -6.164626e+05 , -3.895023e+05 ) 
920 ( -7.603587e+05 , 6.286350e+05 ) 
921 ( -9.100767e+05 , 3.893133e+06 ) 
922 ( -3.868364e+05 , 5.873923e+06 ) 
923 ( -1.976562e+06 , 3.869997e+06 ) 
924 ( 9.435628e+05 , 2.095006e+06 ) 
925 ( -1.045689e+06 , 5.120066e+06 ) 
926 ( 1.348128e+06 , 3.650800e+06 ) 
927 ( 4.328173e+05 , 2.812586e+06 ) 
928 ( 6.947853e+06 , 5.873250e+06 ) 
929 ( 2.417880e+06 , 1.988284e+06 ) 
930 ( -6.442996e+05 , -2.100095e+06 ) 
931 ( -1.021557e+07 , -6.190181e+05 ) 
932 ( 6.255046e+06 , 2.263622e+06 ) 
933 ( -4.301843e+06 , -3.584499e+06 ) 
934 ( -9.080066e+06 , -5.367750e+06 ) 
935 ( 1.748458e+06 , -6.041644e+06 ) 
936 ( -9.260749e+05 , -4.666446e+06 ) 
937 ( 4.955685e+06 , 7.780779e+05 ) 
938 ( 7.503450e+06 , 1.007417e+06 ) 
939 ( -6.624424e+06 , -6.402951e+05 ) 
940 ( -2.468106e+05 , 1.942641e+05 ) 
941 ( -4.373266e+06 , 2.745016e+06 ) 
942 ( 4.327321e+06 , 4.083833e+06 ) 
943 ( -1.441305e+06 , 3.343437e+06 ) 
944 ( -1.953760e+06 , 2.392455e+06 ) 
945 ( 4.000145e+06 , 1.410600e+06 ) 
946 ( 1.020711e+06 , 1.500999e+06 ) 
947 ( 1.097192e+06 , 1.509668e+06 ) 
948 ( 2.865645e+06 , 3.364507e+06 ) 
949 ( -4.673142e+02 , 3.233501e+06 ) 
950 ( -2.881669e+04 , 2.712295e+06 ) 
951 ( -1.666205e+06 , 6.547861e+05 ) 
952 ( -8.357569e+04 , 1.768062e+06 ) 
953 ( 1.435778e+06 , 1.050879e+06 ) 
954 ( 5.569685e+05 , -4.743701e+04 ) 
955 ( 7.096267e+05 , -2.764409e+05 ) 
956 ( 9.935976e+05 , 1.925795e+06 ) 
957 ( -2.446038e+06 , 2.714569e+06 ) 
958 ( 8.255227e+04 , 3.325463e+06 ) 
959 ( 1.129141e+06 , 7.154756e+05 ) 
960 ( -1.867499e+05 , 5.901099e+05 ) 
961 ( -6.253470e+05 , 2.338342e+06 ) 
962 ( -2.086147e+05 , 2.853063e+05 ) 
963 ( 2.705665e+06 , 2.438761e+05 ) 
964 ( 1.015165e+06 , 3.145883e+06 ) 
965 ( -2.087329e+06 , 1.824030e+06 ) 
966 ( -1.313420e+06 , 2.587611e+06 ) 
967 ( -1.483665e+06 , -6.880232e+04 ) 
968 ( -1.522905e+06 , 2.849114e+04 ) 
969 ( 2.452263e+06 , 3.457249e+06 ) 
970 ( 1.520281e+06 , 1.351910e+06 ) 
971 ( 5.554925e+05 , 4.656836e+05 ) 
972 ( 5.006375e+05 , 3.163394e+06 ) 
973 ( -1.788883e+06 , 6.063282e+05 ) 
974 ( 7.896492e+04 , 1.821486e+06 ) 
975 ( 5.582051e+05 , 1.389418e+06 ) 
976 ( 6.113534e+05 , 8.229343e+05 ) 
977 ( 7.972596e+05 , 1.877354e+06 ) 
978 ( 2.239795e+06 , -7.430831e+05 ) 
979 ( 2.704302e+06 , -6.352015e+05 ) 
980 ( 1.437866e+06 , 1.610803e+06 ) 
981 ( -1.248451e+06 , 4.603593e+05 ) 
982 ( -1.177145e+06 , 2.167160e+06 ) 
983 ( -2.589832e+05 , 1.420676e+06 ) 
984 ( 1.025295e+06 , -7.328346e+05 ) 
985 ( -1.522313e+06 , 7.924390e+05 ) 
986 ( 1.833353e+06 , -1.881227e+06 ) 
987 ( 1.705410e+06 , 1.468442e+06 ) 
988 ( -6.294431e+05 , 2.261099e+06 ) 
989 ( 2.322265e+06 , -1.533658e+06 ) 
990 ( 2.091491e+06 , 2.381498e+06 ) 
991 ( 1.644326e+06 , -2.329043e+05 ) 
992 ( 3.038326e+06 , -2.706535e+06 ) 
993 ( -3.410273e+06 , 2.273462e+06 ) 
994 ( -2.700850e+06 , 2.423649e+06 ) 
995 ( 3.275240e+05 , 6.889603e+06 ) 
996 ( -9.196983e+04 , 4.886660e+06 ) 
997 ( 1.144681e+06 , -3.937277e+05 ) 
998 ( 3.035702e+06 , 9.910939e+05 ) 
999 ( 9.462300e+05 , -1.460627e+06 ) 
1000 ( -9.389231e+05 , -9.441515e+04 ) 
1001 ( -9.853281e+05 , 3.779610e+06 ) 
1002 ( -1.081335e+06 , 2.428857e+06 ) 
1003 ( 1.138628e+06 , 3.153764e+06 ) 
1004 ( 2.426332e+06 , 3.195308e+06 ) 
1005 ( 5.424532e+05 , -7.073614e+05 ) 
1006 ( 2.297220e+06 , 3.875180e+05 ) 
1007 ( 1.054130e+06 , -1.024021e+06 ) 
1008 ( -6.084351e+05 , 2.173486e+05 ) 
1009 ( 4.552336e+05 , 4.122497e+06 ) 
1010 ( -1.372022e+06 , 2.780301e+06 ) 
1011 ( -6.275517e+05 , 2.703660e+06 ) 
1012 ( 1.838980e+06 , 2.508526e+06 ) 
1013 ( -1.464918e+05 , -5.447505e+05 ) 
1014 ( 1.641666e+06 , -4.324256e+05 ) 
1015 ( 8.688057e+05 , -9.386683e+05 ) 
1016 ( -1.089455e+06 , 6.845205e+05 ) 
1017 ( -1.675258e+06 , 2.878294e+06 ) 
1018 ( -2.315032e+06 , 1.919476e+06 ) 
1019 ( 5.934629e+05 , 2.750345e+06 ) 
1020 ( 1.206303e+06 , 1.198450e+06 ) 
1021 ( -1.118640e+06 , 1.772272e+05 ) 
1022 ( 5.417214e+05 , -1.611772e+06 ) 
1023 ( -2.507350e+05 , -1.936755e+06 ) 
1024 ( -2.406333e+06 , 6.152171e+04 ) 
