  Freq. No. =   1,  f = 8.7415e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( 2.094650e+06 , 1.095560e+07 ) 
512 ( -6.775849e+06 , 4.345379e+07 ) 
513 ( -2.393493e+07 , 2.467389e+07 ) 
514 ( -2.502502e+07 , 5.306690e+07 ) 
515 ( 3.991700e+07 , 4.927327e+07 ) 
516 ( 1.961560e+07 , 3.268494e+07 ) 
517 ( -1.657437e+07 , 3.554445e+07 ) 
518 ( -1.666839e+07 , 4.189735e+07 ) 
519 ( 4.143239e+07 , 6.668989e+07 ) 
520 ( -1.491311e+07 , 5.911960e+07 ) 
521 ( -7.391757e+06 , 2.950356e+07 ) 
522 ( 1.709418e+07 , 4.574890e+07 ) 
523 ( 2.475692e+07 , 3.544075e+07 ) 
524 ( -4.815240e+07 , 2.219405e+07 ) 
525 ( -8.966763e+06 , 5.313585e+07 ) 
526 ( 1.488250e+07 , 1.639440e+07 ) 
527 ( 3.156131e+07 , 4.008000e+07 ) 
528 ( -1.789687e+06 , 6.261612e+07 ) 
529 ( 2.591339e+07 , 6.331682e+07 ) 
530 ( 6.821294e+07 , 8.790337e+06 ) 
531 ( -1.881563e+07 , 5.633822e+06 ) 
532 ( -4.921020e+07 , 1.057501e+07 ) 
533 ( -5.540926e+07 , -6.898263e+07 ) 
534 ( 4.338017e+06 , -9.319795e+07 ) 
535 ( -1.865458e+06 , -4.484229e+07 ) 
536 ( -2.261903e+07 , -4.749520e+07 ) 
537 ( 2.130207e+06 , 1.369549e+07 ) 
538 ( 4.357182e+07 , -1.817033e+07 ) 
539 ( -1.050731e+07 , 8.496716e+06 ) 
540 ( 2.025456e+07 , -4.318104e+07 ) 
541 ( -3.164960e+07 , -5.205779e+07 ) 
542 ( 1.729801e+07 , -5.872688e+07 ) 
543 ( 1.316198e+07 , -2.745311e+07 ) 
544 ( 4.226703e+07 , -5.433651e+07 ) 
545 ( 1.631039e+06 , -8.974757e+06 ) 
546 ( 4.749428e+06 , -1.688196e+07 ) 
547 ( -2.861435e+07 , 9.787025e+06 ) 
548 ( 4.299342e+07 , -3.094415e+07 ) 
549 ( 8.541770e+06 , -4.054448e+06 ) 
550 ( 2.242757e+06 , 1.785518e+07 ) 
551 ( -8.360970e+06 , -1.903911e+06 ) 
552 ( 5.119699e+07 , -1.968221e+07 ) 
553 ( 2.734666e+07 , 2.812528e+07 ) 
554 ( 3.539602e+06 , 2.316634e+07 ) 
555 ( -1.514832e+07 , 8.794955e+06 ) 
556 ( 3.503348e+07 , 3.239484e+07 ) 
557 ( 2.299680e+07 , 4.866705e+07 ) 
558 ( 1.572275e+07 , 3.323546e+07 ) 
559 ( -3.191233e+06 , 1.897965e+07 ) 
560 ( 2.316815e+07 , 3.121902e+07 ) 
561 ( 3.047884e+07 , 2.195292e+07 ) 
562 ( -3.480160e+07 , 7.316676e+07 ) 
563 ( -2.002880e+07 , 6.707663e+07 ) 
564 ( 2.477039e+07 , 2.933232e+07 ) 
565 ( 3.885441e+07 , 1.923650e+07 ) 
566 ( 2.185656e+07 , 8.726554e+07 ) 
567 ( 3.707886e+06 , 3.577636e+07 ) 
568 ( -1.590055e+07 , 7.154248e+07 ) 
569 ( 1.377354e+07 , -1.222176e+07 ) 
570 ( -1.427225e+07 , 4.378299e+07 ) 
571 ( -2.602342e+06 , 8.336555e+07 ) 
572 ( -2.580570e+06 , 8.625972e+07 ) 
573 ( 2.148958e+07 , 1.898116e+07 ) 
574 ( -1.342720e+07 , 6.006454e+07 ) 
575 ( 8.038296e+06 , 3.602749e+07 ) 
576 ( -2.241443e+07 , 4.222527e+07 ) 
577 ( 3.368398e+07 , 9.538234e+06 ) 
578 ( -3.343625e+06 , 4.895065e+07 ) 
579 ( -1.456380e+07 , 2.560079e+07 ) 
580 ( -3.702396e+07 , 5.574705e+07 ) 
581 ( 1.977138e+07 , -9.733304e+05 ) 
582 ( 5.585548e+06 , -6.571738e+05 ) 
583 ( -1.052251e+07 , 1.377047e+07 ) 
584 ( -2.850231e+07 , 3.851905e+07 ) 
585 ( 1.309798e+07 , 1.341552e+07 ) 
586 ( -6.958563e+05 , 1.045556e+07 ) 
587 ( -1.287120e+07 , -1.079845e+07 ) 
588 ( -2.250344e+07 , -2.951003e+06 ) 
589 ( 2.162946e+07 , -5.895454e+06 ) 
590 ( 6.406771e+06 , -2.854399e+07 ) 
591 ( -1.539767e+07 , -2.471887e+07 ) 
592 ( -1.776276e+07 , 2.628595e+05 ) 
593 ( 9.300636e+06 , -5.326438e+06 ) 
594 ( 1.733190e+07 , -3.305749e+07 ) 
595 ( -2.574132e+07 , -2.222975e+07 ) 
596 ( -1.905333e+07 , -2.705230e+07 ) 
597 ( -1.704032e+07 , -1.384270e+07 ) 
598 ( -7.042945e+06 , -6.116781e+07 ) 
599 ( -1.163423e+07 , -4.787278e+07 ) 
600 ( 1.925471e+06 , -5.310476e+07 ) 
601 ( -1.289603e+07 , 3.292501e+06 ) 
602 ( -7.490592e+06 , -7.448338e+07 ) 
603 ( 3.444295e+05 , -4.765825e+07 ) 
604 ( -8.515510e+06 , -5.210169e+07 ) 
605 ( -4.999981e+06 , 1.151448e+07 ) 
606 ( 7.118623e+06 , -5.184685e+07 ) 
607 ( -2.328034e+07 , -6.688524e+07 ) 
608 ( -6.563681e+06 , -8.195223e+07 ) 
609 ( -2.847137e+07 , 1.361362e+07 ) 
610 ( -2.731354e+07 , -4.006723e+07 ) 
611 ( 1.425116e+07 , -5.095498e+07 ) 
612 ( 2.351059e+07 , -4.271739e+07 ) 
613 ( -1.199345e+07 , 1.189380e+07 ) 
614 ( -6.087002e+06 , -2.279426e+07 ) 
615 ( -7.835781e+06 , -3.215966e+07 ) 
616 ( -1.304882e+07 , -3.428825e+07 ) 
617 ( -1.991162e+07 , -6.166338e+05 ) 
618 ( -2.043328e+07 , -1.562079e+05 ) 
619 ( 1.456210e+06 , -1.023819e+07 ) 
620 ( 1.995199e+07 , -1.759906e+07 ) 
621 ( 1.746787e+07 , 2.433865e+07 ) 
622 ( -1.706672e+07 , 4.479020e+07 ) 
623 ( -8.991535e+06 , 1.076366e+07 ) 
624 ( 1.131782e+07 , 1.952956e+07 ) 
625 ( -2.110949e+07 , 2.701837e+07 ) 
626 ( -2.935590e+07 , 3.351810e+07 ) 
627 ( 1.028886e+07 , -1.761103e+06 ) 
628 ( 2.008426e+06 , 3.124753e+07 ) 
629 ( -7.953559e+05 , 4.042404e+07 ) 
630 ( -2.837535e+07 , 6.621372e+07 ) 
631 ( 1.949141e+07 , 4.230349e+07 ) 
632 ( 5.868533e+06 , 5.853983e+07 ) 
633 ( -1.849750e+07 , 4.970245e+07 ) 
634 ( -3.588299e+06 , 6.754885e+07 ) 
635 ( 2.579102e+07 , 3.670454e+07 ) 
636 ( -9.216410e+06 , 6.281314e+07 ) 
637 ( -2.190375e+06 , 2.483571e+07 ) 
638 ( -1.345264e+07 , 7.186419e+07 ) 
639 ( 1.194697e+07 , 4.575601e+07 ) 
640 ( 1.136643e+07 , 5.849863e+07 ) 
641 ( -2.571763e+06 , 3.000979e+07 ) 
642 ( 1.120967e+06 , 6.967841e+07 ) 
643 ( 2.955521e+07 , 6.849872e+07 ) 
644 ( 3.040838e+05 , 8.435682e+07 ) 
645 ( -9.385475e+06 , 4.235802e+07 ) 
646 ( 1.367146e+07 , 6.637384e+07 ) 
647 ( 2.092087e+07 , 7.183970e+07 ) 
648 ( -1.217539e+07 , 7.830166e+07 ) 
649 ( 8.146646e+06 , 2.927315e+07 ) 
650 ( 1.741045e+07 , 4.605793e+07 ) 
651 ( 2.689916e+07 , 4.458925e+07 ) 
652 ( 2.965556e+07 , 4.582713e+07 ) 
653 ( 1.931891e+07 , 4.449149e+07 ) 
654 ( 6.937926e+07 , -1.634065e+07 ) 
655 ( -1.951359e+07 , 5.108623e+06 ) 
656 ( -2.599501e+07 , 3.178462e+07 ) 
657 ( -3.457130e+07 , -7.534109e+07 ) 
658 ( 1.596204e+07 , -1.309226e+08 ) 
659 ( -5.197809e+06 , -6.161443e+07 ) 
660 ( -1.371729e+06 , -7.738022e+07 ) 
661 ( 6.793066e+06 , 1.138503e+07 ) 
662 ( 1.719772e+07 , -5.363329e+07 ) 
663 ( -4.191876e+07 , -2.359211e+07 ) 
664 ( 1.006909e+06 , -9.042307e+07 ) 
665 ( -4.416168e+06 , -4.058255e+07 ) 
666 ( 7.475423e+06 , -8.471478e+07 ) 
667 ( -1.979195e+07 , -4.390025e+07 ) 
668 ( 2.124960e+07 , -7.687964e+07 ) 
669 ( -7.648354e+06 , -4.317839e+07 ) 
670 ( 1.598309e+07 , -6.260466e+07 ) 
671 ( -8.446149e+06 , -5.838858e+06 ) 
672 ( 3.836503e+07 , -7.268538e+07 ) 
673 ( -7.382428e+06 , -1.205387e+07 ) 
674 ( 2.602210e+06 , -1.228396e+07 ) 
675 ( -1.225880e+07 , -7.761150e+05 ) 
676 ( 4.033815e+07 , -4.860043e+07 ) 
677 ( 2.099234e+06 , -1.561903e+07 ) 
678 ( -4.707526e+06 , 2.090838e+06 ) 
679 ( -5.992457e+06 , 1.096492e+07 ) 
680 ( 3.866701e+07 , -8.050951e+06 ) 
681 ( 5.334234e+06 , -4.445586e+06 ) 
682 ( 1.568777e+07 , 2.758178e+07 ) 
683 ( 8.804922e+06 , 4.176709e+07 ) 
684 ( 2.489881e+07 , 1.754286e+07 ) 
685 ( -5.262590e+06 , 4.720003e+06 ) 
686 ( -7.774937e+06 , 4.582134e+07 ) 
687 ( 2.519731e+06 , 2.412755e+07 ) 
688 ( 2.881379e+07 , 2.227290e+07 ) 
689 ( 1.275818e+07 , 3.266396e+07 ) 
690 ( 1.920200e+06 , 7.209563e+07 ) 
691 ( 1.513511e+07 , 4.026966e+07 ) 
692 ( 1.037877e+07 , 6.939533e+07 ) 
693 ( 3.069855e+07 , 2.851973e+07 ) 
694 ( 7.454002e+06 , 8.505657e+07 ) 
695 ( -2.693057e+07 , 7.638082e+06 ) 
696 ( 1.004881e+06 , 5.986535e+07 ) 
697 ( 1.294977e+06 , 3.420980e+07 ) 
698 ( -1.393379e+07 , 7.660474e+07 ) 
699 ( 4.031415e+07 , 2.701634e+07 ) 
700 ( 1.464474e+07 , 1.034103e+08 ) 
701 ( 2.655778e+07 , 1.557549e+07 ) 
702 ( 4.405792e+06 , 7.375604e+07 ) 
703 ( -8.978577e+06 , 2.958313e+07 ) 
704 ( -3.352016e+07 , 6.389405e+07 ) 
705 ( 1.969927e+07 , 8.626477e+06 ) 
706 ( 8.667291e+06 , 2.609282e+07 ) 
707 ( 8.706559e+06 , -2.616645e+06 ) 
708 ( -3.706968e+06 , 5.833280e+07 ) 
709 ( 1.080513e+07 , 1.667198e+07 ) 
710 ( 6.362229e+06 , 2.082273e+07 ) 
711 ( -8.484371e+06 , 1.111751e+07 ) 
712 ( -1.719989e+07 , 3.537150e+07 ) 
713 ( 5.098042e+06 , -1.027557e+07 ) 
714 ( 1.153751e+07 , -3.133325e+06 ) 
715 ( 1.281506e+07 , -1.360397e+07 ) 
716 ( -2.938257e+06 , -8.669206e+05 ) 
717 ( 1.208141e+07 , -1.547825e+07 ) 
718 ( 4.355816e+06 , -1.877633e+07 ) 
719 ( -1.776171e+07 , -7.802908e+06 ) 
720 ( -1.634892e+07 , -3.585143e+06 ) 
721 ( 3.730774e+05 , -8.845405e+06 ) 
722 ( -5.911715e+06 , -4.393465e+07 ) 
723 ( -9.242121e+06 , -1.707790e+07 ) 
724 ( -1.504154e+07 , -2.253346e+07 ) 
725 ( -9.492490e+05 , -2.012018e+07 ) 
726 ( -2.856684e+06 , -4.130991e+07 ) 
727 ( -7.300298e+06 , -2.350316e+07 ) 
728 ( -1.088569e+07 , -5.073943e+07 ) 
729 ( -2.970419e+07 , -1.307828e+07 ) 
730 ( -1.113164e+07 , -5.801042e+07 ) 
731 ( 1.076027e+07 , -2.423156e+07 ) 
732 ( -1.112130e+07 , -4.400299e+07 ) 
733 ( -1.762747e+07 , -1.374943e+07 ) 
734 ( -4.461057e+06 , -7.294778e+07 ) 
735 ( -5.724390e+05 , -2.517733e+07 ) 
736 ( -6.470712e+06 , -6.191301e+07 ) 
737 ( -1.966016e+07 , -1.403027e+07 ) 
738 ( -5.890009e+06 , -5.027433e+07 ) 
739 ( 9.796533e+06 , -2.015306e+07 ) 
740 ( 5.747943e+06 , -7.348864e+07 ) 
741 ( 3.795141e+06 , -2.281923e+07 ) 
742 ( -1.086207e+07 , -1.189330e+07 ) 
743 ( -1.028172e+07 , 1.649237e+07 ) 
744 ( 1.213764e+07 , -3.078568e+07 ) 
745 ( -2.601835e+07 , 7.378100e+06 ) 
746 ( -4.271233e+06 , -1.192401e+07 ) 
747 ( 3.047478e+06 , 1.548241e+07 ) 
748 ( -1.292420e+06 , -4.341149e+06 ) 
749 ( -3.011601e+07 , 1.685711e+06 ) 
750 ( -2.212157e+07 , 3.257048e+07 ) 
751 ( 3.858080e+07 , 1.238698e+07 ) 
752 ( 2.851843e+07 , -1.312855e+07 ) 
753 ( 6.989529e+06 , 3.829665e+07 ) 
754 ( -2.581084e+06 , 5.545167e+07 ) 
755 ( -2.516234e+06 , 1.405162e+07 ) 
756 ( -1.161023e+07 , 5.422063e+07 ) 
757 ( -1.078916e+07 , 5.006026e+07 ) 
758 ( -4.383753e+06 , 6.537832e+07 ) 
759 ( 8.998025e+06 , 2.839160e+06 ) 
760 ( 1.835732e+07 , 5.411169e+07 ) 
761 ( -3.084094e+06 , 4.863592e+07 ) 
762 ( 1.887224e+06 , 7.720421e+07 ) 
763 ( 3.287951e+07 , 3.031810e+07 ) 
764 ( 2.233327e+07 , 7.279480e+07 ) 
765 ( -1.705966e+07 , 7.021010e+07 ) 
766 ( -9.821177e+06 , 7.141674e+07 ) 
767 ( 2.239952e+07 , 2.059081e+06 ) 
768 ( 1.263433e+06 , 7.180502e+07 ) 
769 ( -1.533842e+07 , 5.128853e+07 ) 
770 ( 4.168302e+06 , 6.088366e+07 ) 
771 ( 2.493791e+07 , 3.487704e+07 ) 
772 ( -6.210404e+06 , 7.512348e+07 ) 
773 ( -1.271697e+07 , 3.525522e+07 ) 
774 ( 1.719990e+06 , 4.382017e+07 ) 
775 ( 1.427109e+07 , 3.314626e+07 ) 
776 ( -1.292589e+06 , 5.310182e+07 ) 
777 ( -3.369227e+06 , 3.192614e+07 ) 
778 ( -4.710637e+06 , 2.179928e+07 ) 
779 ( 2.663659e+07 , 1.604450e+06 ) 
780 ( -7.893464e+06 , 2.869766e+07 ) 
781 ( -1.155789e+07 , 2.048985e+07 ) 
782 ( 2.287819e+07 , 9.175543e+05 ) 
783 ( 1.288532e+07 , 3.763064e+07 ) 
784 ( -3.372012e+07 , 3.678343e+07 ) 
785 ( 2.724329e+05 , -2.647355e+07 ) 
786 ( 3.698029e+07 , -1.745561e+07 ) 
787 ( -5.689352e+07 , -2.471710e+07 ) 
788 ( -1.060065e+07 , -3.737820e+07 ) 
789 ( -5.729373e+07 , -4.935194e+07 ) 
790 ( -2.092254e+07 , -7.250111e+07 ) 
791 ( 4.450567e+07 , 4.630524e+07 ) 
792 ( 4.992285e+07 , 2.491568e+06 ) 
793 ( 1.359861e+07 , -9.443083e+07 ) 
794 ( 6.546037e+06 , -9.994199e+07 ) 
795 ( -2.426790e+06 , -4.271185e+07 ) 
796 ( 6.538286e+05 , -1.143971e+08 ) 
797 ( 1.251260e+07 , -5.328588e+07 ) 
798 ( 2.278803e+07 , -6.742338e+07 ) 
799 ( -3.112400e+07 , -1.677856e+07 ) 
800 ( -9.142669e+06 , -8.093192e+07 ) 
801 ( -1.339005e+07 , -6.149129e+07 ) 
802 ( 8.601889e+06 , -7.718839e+07 ) 
803 ( -2.433744e+07 , -1.651243e+07 ) 
804 ( -7.932094e+04 , -6.468777e+07 ) 
805 ( -1.344564e+07 , -4.946858e+07 ) 
806 ( -1.456033e+07 , -6.441012e+07 ) 
807 ( -1.129568e+07 , -3.550115e+07 ) 
808 ( 3.189333e+07 , -8.262263e+07 ) 
809 ( -6.611550e+05 , -4.192242e+07 ) 
810 ( -6.525966e+06 , -5.110050e+07 ) 
811 ( -3.825395e+06 , -1.687517e+07 ) 
812 ( 1.101482e+07 , -5.608935e+07 ) 
813 ( -8.897253e+06 , -1.629465e+07 ) 
814 ( -1.630172e+06 , -1.410096e+07 ) 
815 ( -1.217208e+07 , -5.044058e+06 ) 
816 ( 1.654622e+07 , -3.875780e+07 ) 
817 ( 1.821842e+07 , -4.636100e+06 ) 
818 ( 3.580773e+06 , 1.724601e+05 ) 
819 ( -1.346549e+07 , -8.929418e+06 ) 
820 ( 3.099217e+07 , -1.398028e+07 ) 
821 ( 8.148657e+04 , 8.656966e+06 ) 
822 ( -2.858934e+07 , 1.205179e+07 ) 
823 ( -2.003857e+07 , 1.220383e+07 ) 
824 ( 1.608121e+07 , 1.211943e+07 ) 
825 ( 3.512345e+07 , 2.649498e+07 ) 
826 ( -2.295399e+04 , 4.476206e+07 ) 
827 ( 7.172226e+06 , 1.127230e+07 ) 
828 ( 1.121928e+07 , 1.950859e+07 ) 
829 ( 2.669826e+05 , 4.278618e+07 ) 
830 ( -1.376348e+07 , 5.431826e+07 ) 
831 ( -2.325493e+07 , -7.626145e+06 ) 
832 ( -1.238683e+07 , 4.172218e+07 ) 
833 ( 2.010341e+07 , 5.224001e+07 ) 
834 ( -1.353380e+07 , 3.732399e+07 ) 
835 ( -5.678427e+06 , 7.706878e+06 ) 
836 ( 1.052470e+07 , 6.528313e+07 ) 
837 ( 4.538794e+06 , 4.882021e+07 ) 
838 ( 2.439287e+07 , 3.220746e+07 ) 
839 ( 1.639352e+07 , -1.440974e+06 ) 
840 ( -4.915581e+06 , 3.030639e+07 ) 
841 ( 2.192803e+06 , 3.808798e+07 ) 
842 ( -1.992731e+07 , 3.431253e+07 ) 
843 ( 2.387479e+07 , -5.303504e+03 ) 
844 ( 1.014172e+07 , 2.498535e+07 ) 
845 ( 9.921229e+06 , 2.456925e+07 ) 
846 ( -2.853993e+06 , 1.726321e+07 ) 
847 ( -6.924317e+06 , 1.183973e+07 ) 
848 ( -4.384817e+07 , 3.333770e+07 ) 
849 ( -1.563422e+06 , -5.751530e+06 ) 
850 ( 9.243836e+06 , 2.841545e+07 ) 
851 ( 7.727048e+06 , 1.517434e+07 ) 
852 ( -7.562143e+06 , 1.197852e+07 ) 
853 ( -1.646404e+07 , -2.106145e+07 ) 
854 ( 3.282144e+06 , -5.049901e+06 ) 
855 ( 1.993739e+07 , 1.821824e+07 ) 
856 ( -1.250590e+07 , 2.712342e+07 ) 
857 ( -1.625752e+07 , -8.993513e+06 ) 
858 ( -1.396329e+07 , 3.133473e+06 ) 
859 ( 1.674930e+07 , -1.656650e+06 ) 
860 ( -1.734633e+07 , -7.889372e+06 ) 
861 ( -1.258817e+07 , -3.512301e+07 ) 
862 ( -1.268016e+06 , -1.647076e+07 ) 
863 ( 1.811713e+07 , 3.140884e+06 ) 
864 ( -2.216646e+07 , -2.707241e+06 ) 
865 ( -1.053278e+07 , -1.425501e+07 ) 
866 ( 1.734787e+06 , -3.784223e+07 ) 
867 ( 7.020089e+06 , -1.600077e+07 ) 
868 ( -1.378344e+07 , -1.960112e+07 ) 
869 ( -2.018308e+07 , -9.617860e+06 ) 
870 ( -1.434790e+07 , -2.535500e+07 ) 
871 ( 7.752137e+06 , -3.266247e+07 ) 
872 ( -3.611685e+06 , -4.392860e+07 ) 
873 ( 2.053548e+06 , -1.479923e+07 ) 
874 ( -9.435675e+06 , -3.408083e+07 ) 
875 ( 4.077833e+06 , -1.034699e+07 ) 
876 ( -3.779791e+06 , -1.692808e+07 ) 
877 ( -2.360182e+06 , 4.968427e+06 ) 
878 ( 2.803022e+06 , -2.331042e+07 ) 
879 ( -1.316731e+07 , -3.440904e+07 ) 
880 ( -8.583565e+06 , -4.059394e+07 ) 
881 ( -2.074877e+07 , -1.944236e+07 ) 
882 ( -1.480619e+07 , -2.385261e+07 ) 
883 ( 1.463321e+07 , 4.196443e+06 ) 
884 ( 2.367155e+07 , -1.866330e+07 ) 
885 ( -1.169409e+07 , 4.614224e+07 ) 
886 ( -3.317517e+07 , -2.389663e+04 ) 
887 ( -4.492599e+06 , -2.723375e+07 ) 
888 ( -1.271829e+07 , -1.907858e+07 ) 
889 ( 1.249930e+07 , 2.123163e+07 ) 
890 ( -1.197494e+07 , 2.565138e+07 ) 
891 ( -2.290393e+06 , 6.373259e+06 ) 
892 ( 1.410188e+06 , 9.190940e+06 ) 
893 ( -1.018936e+06 , 2.902975e+07 ) 
894 ( 5.256474e+05 , 2.243775e+07 ) 
895 ( 1.838066e+06 , 1.292617e+07 ) 
896 ( 4.245515e+06 , 2.728123e+07 ) 
897 ( 8.580829e+05 , 3.106812e+07 ) 
898 ( -8.482062e+06 , 4.824206e+07 ) 
899 ( 8.253124e+06 , 2.102554e+07 ) 
900 ( 1.512529e+07 , 2.596747e+07 ) 
901 ( -3.021320e+06 , 3.250376e+07 ) 
902 ( -1.333866e+07 , 6.359902e+07 ) 
903 ( 4.638728e+06 , 4.250084e+07 ) 
904 ( -2.438344e+06 , 5.783094e+07 ) 
905 ( 1.999382e+07 , 4.226245e+07 ) 
906 ( 5.905347e+05 , 5.328343e+07 ) 
907 ( 6.090228e+06 , 3.115408e+07 ) 
908 ( 7.148332e+06 , 6.452146e+07 ) 
909 ( -1.976501e+06 , 2.694632e+07 ) 
910 ( 1.498575e+07 , 4.345162e+07 ) 
911 ( 8.011707e+06 , 1.692099e+07 ) 
912 ( -8.800459e+06 , 4.173769e+07 ) 
913 ( -1.374570e+07 , 2.155584e+07 ) 
914 ( 1.101796e+07 , 3.862814e+07 ) 
915 ( 1.733015e+07 , 2.815047e+07 ) 
916 ( 6.227113e+06 , 4.913270e+07 ) 
917 ( 6.691258e+06 , 2.820728e+07 ) 
918 ( 2.114061e+07 , 3.206565e+07 ) 
919 ( 1.763368e+07 , 1.041473e+07 ) 
920 ( 1.428431e+07 , 3.667833e+07 ) 
921 ( 7.695941e+06 , 9.007458e+05 ) 
922 ( 3.693454e+07 , 3.242374e+06 ) 
923 ( -4.970718e+06 , -8.044355e+06 ) 
924 ( -1.144984e+07 , 1.721796e+07 ) 
925 ( -5.977722e+06 , -2.218365e+07 ) 
926 ( 2.736151e+07 , -5.300432e+06 ) 
927 ( 8.538572e+05 , 4.113985e+06 ) 
928 ( 1.584861e+07 , 5.445536e+06 ) 
929 ( -1.958207e+07 , -1.787937e+07 ) 
930 ( -6.883340e+05 , -6.089881e+06 ) 
931 ( 2.792992e+07 , -6.620011e+06 ) 
932 ( 2.121400e+07 , -8.892915e+06 ) 
933 ( -2.447041e+07 , -1.916610e+07 ) 
934 ( -1.522606e+07 , -1.008470e+07 ) 
935 ( 2.402543e+07 , -3.218556e+06 ) 
936 ( 2.124906e+07 , -8.126827e+06 ) 
937 ( -4.486963e+05 , -3.646574e+07 ) 
938 ( 2.429200e+07 , -5.824683e+07 ) 
939 ( -9.458357e+06 , -4.906787e+07 ) 
940 ( -2.056128e+07 , -3.409145e+07 ) 
941 ( 3.370986e+07 , -1.168899e+07 ) 
942 ( 3.607512e+07 , -2.980494e+07 ) 
943 ( -3.165566e+07 , -1.422010e+07 ) 
944 ( -7.068258e+06 , -3.962527e+07 ) 
945 ( -1.632309e+07 , -4.314097e+07 ) 
946 ( 1.029170e+07 , -9.678221e+07 ) 
947 ( -1.327411e+07 , -5.187418e+07 ) 
948 ( -2.546329e+07 , -5.810766e+07 ) 
949 ( 1.669722e+06 , -3.993505e+07 ) 
950 ( -2.067474e+07 , -7.862945e+07 ) 
951 ( -1.653839e+07 , -4.633413e+07 ) 
952 ( 6.872891e+06 , -9.337115e+07 ) 
953 ( 1.379609e+07 , -4.810268e+07 ) 
954 ( -4.904053e+06 , -8.031461e+07 ) 
955 ( -2.613697e+07 , -3.445958e+07 ) 
956 ( -1.188242e+07 , -7.637941e+07 ) 
957 ( 1.218404e+07 , -3.629122e+07 ) 
958 ( -9.944485e+06 , -6.325310e+07 ) 
959 ( -2.685068e+07 , -2.794405e+07 ) 
960 ( 2.845860e+06 , -7.653762e+07 ) 
961 ( -1.470192e+06 , -2.394345e+07 ) 
962 ( -2.427606e+07 , -2.403400e+07 ) 
963 ( -1.856919e+07 , -3.361737e+07 ) 
964 ( 6.965738e+06 , -5.828904e+07 ) 
965 ( 7.943985e+06 , -1.672359e+07 ) 
966 ( -6.294662e+06 , -2.651451e+07 ) 
967 ( -2.366094e+06 , -1.291674e+07 ) 
968 ( 4.201300e+06 , -1.050206e+07 ) 
969 ( 2.467700e+06 , 1.977753e+06 ) 
970 ( -2.537583e+06 , 1.681158e+07 ) 
971 ( -2.235220e+07 , -7.770824e+06 ) 
972 ( 8.496521e+06 , -2.299816e+07 ) 
973 ( -7.316345e+06 , -3.510168e+06 ) 
974 ( -1.920824e+07 , 1.138664e+07 ) 
975 ( 2.202410e+07 , 6.534075e+06 ) 
976 ( 3.280420e+07 , 1.987570e+07 ) 
977 ( -2.033429e+06 , 3.797306e+07 ) 
978 ( -3.407628e+06 , 3.556426e+07 ) 
979 ( -6.074748e+06 , -1.122819e+07 ) 
980 ( -1.324875e+07 , 1.902776e+07 ) 
981 ( 1.536033e+07 , 1.411162e+07 ) 
982 ( 4.373674e+06 , 4.482671e+07 ) 
983 ( -5.550135e+06 , 1.484152e+07 ) 
984 ( 1.798843e+07 , 3.829394e+07 ) 
985 ( -3.432786e+06 , 2.758016e+07 ) 
986 ( -6.614842e+06 , 3.298867e+07 ) 
987 ( 1.166682e+07 , 1.420451e+07 ) 
988 ( 1.349651e+07 , 4.721383e+07 ) 
989 ( -4.181269e+06 , 2.691851e+07 ) 
990 ( 6.050289e+06 , 4.298850e+07 ) 
991 ( 2.299558e+07 , -2.710852e+06 ) 
992 ( -9.054185e+05 , 2.692077e+07 ) 
993 ( -8.281015e+06 , 1.839832e+07 ) 
994 ( -3.357587e+06 , 7.652611e+06 ) 
995 ( -1.747140e+07 , 1.830941e+07 ) 
996 ( -1.530720e+07 , 4.057931e+07 ) 
997 ( 1.331424e+07 , 1.522969e+07 ) 
998 ( -8.995695e+05 , 3.531123e+06 ) 
999 ( 9.263573e+06 , 1.355931e+07 ) 
1000 ( 1.035076e+07 , 6.772401e+06 ) 
1001 ( -1.066338e+07 , -3.234356e+06 ) 
1002 ( 1.035239e+07 , 6.628910e+06 ) 
1003 ( 1.543269e+06 , -2.067105e+06 ) 
1004 ( -2.438655e+07 , -7.834668e+06 ) 
1005 ( -1.017724e+07 , -3.432386e+06 ) 
1006 ( -3.807300e+06 , -1.431758e+07 ) 
1007 ( -1.198959e+05 , -1.464749e+06 ) 
1008 ( -1.010299e+07 , 1.105467e+07 ) 
1009 ( -4.017133e+06 , -6.836075e+06 ) 
1010 ( -1.835405e+07 , -2.025289e+07 ) 
1011 ( 6.402646e+06 , 1.005547e+06 ) 
1012 ( -1.171297e+07 , -1.469335e+07 ) 
1013 ( -1.784826e+07 , -2.759862e+07 ) 
1014 ( -2.978824e+06 , -1.654402e+07 ) 
1015 ( 1.778949e+07 , -1.238385e+07 ) 
1016 ( -3.202415e+07 , -3.168949e+07 ) 
1017 ( -2.261837e+07 , -2.813372e+07 ) 
1018 ( -8.059662e+06 , -2.943203e+07 ) 
1019 ( 1.036332e+07 , -2.794410e+06 ) 
1020 ( -1.310939e+07 , -1.163268e+07 ) 
1021 ( -1.867695e+07 , -2.208903e+07 ) 
1022 ( -1.571997e+07 , -2.755679e+07 ) 
1023 ( 1.857714e+07 , -1.632739e+06 ) 
1024 ( -1.021284e+07 , -2.781536e+07 ) 
