  Freq. No. =   1,  f = 6.0418e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( 3.678731e+06 , -4.713562e+06 ) 
512 ( -7.467795e+05 , 1.110538e+06 ) 
513 ( -2.930630e+05 , -5.943368e+05 ) 
514 ( -1.305474e+06 , -1.654432e+06 ) 
515 ( -8.196649e+05 , 9.367634e+05 ) 
516 ( 5.062310e+05 , 1.225912e+06 ) 
517 ( 1.075006e+06 , -2.798400e+06 ) 
518 ( -3.427627e+05 , -2.518429e+06 ) 
519 ( 3.095456e+05 , -8.270058e+05 ) 
520 ( -2.901909e+06 , -2.491727e+06 ) 
521 ( 1.203389e+06 , -1.846351e+06 ) 
522 ( -1.944957e+06 , -1.795958e+06 ) 
523 ( -9.786093e+05 , -9.435592e+05 ) 
524 ( -6.816750e+06 , -2.230280e+06 ) 
525 ( 2.110660e+04 , -1.398803e+06 ) 
526 ( -1.303358e+06 , -1.400417e+06 ) 
527 ( 1.949350e+06 , -4.171048e+05 ) 
528 ( -5.477396e+06 , -1.628191e+06 ) 
529 ( 2.635991e+06 , -1.147684e+06 ) 
530 ( 4.138272e+06 , -8.513252e+05 ) 
531 ( -6.968759e+06 , -7.259782e+05 ) 
532 ( -5.532952e+06 , -1.346723e+06 ) 
533 ( 4.465227e+05 , -8.180556e+05 ) 
534 ( 4.727015e+06 , 1.721581e+06 ) 
535 ( -5.489186e+06 , 1.836728e+06 ) 
536 ( -8.156500e+05 , -1.538526e+05 ) 
537 ( 1.500517e+06 , -1.267224e+06 ) 
538 ( 1.519481e+06 , 8.703860e+05 ) 
539 ( -2.000864e+06 , 4.637158e+06 ) 
540 ( 3.001507e+06 , 2.211465e+06 ) 
541 ( -5.106075e+04 , -3.499544e+06 ) 
542 ( -1.217064e+06 , -2.847293e+06 ) 
543 ( -1.975402e+06 , 3.035720e+05 ) 
544 ( -1.586343e+06 , -6.735761e+05 ) 
545 ( 1.032791e+06 , -4.010055e+06 ) 
546 ( -1.681610e+06 , -1.345457e+06 ) 
547 ( -1.457055e+06 , 9.711035e+05 ) 
548 ( -7.418418e+05 , -2.719386e+06 ) 
549 ( -7.296662e+05 , -1.516040e+06 ) 
550 ( -3.187771e+06 , -3.048494e+06 ) 
551 ( -3.164342e+06 , -9.198971e+05 ) 
552 ( -2.554334e+06 , -1.293020e+06 ) 
553 ( -1.744976e+06 , -3.498021e+06 ) 
554 ( -2.087675e+06 , -3.274077e+06 ) 
555 ( -2.972144e+05 , -1.787457e+06 ) 
556 ( -2.622878e+06 , -3.836390e+06 ) 
557 ( -3.736215e+05 , -1.291755e+06 ) 
558 ( -2.093069e+06 , -1.610355e+06 ) 
559 ( -3.103770e+06 , -6.872400e+05 ) 
560 ( -2.164856e+06 , -2.398827e+06 ) 
561 ( -1.678095e+06 , -6.169919e+05 ) 
562 ( -1.663897e+06 , -7.002819e+05 ) 
563 ( -1.135731e+05 , -6.514163e+05 ) 
564 ( -1.144461e+06 , -2.036693e+06 ) 
565 ( 1.749615e+05 , -9.037529e+05 ) 
566 ( -1.261579e+06 , -2.317285e+06 ) 
567 ( -1.310259e+06 , -1.849519e+06 ) 
568 ( -1.334646e+06 , -1.014916e+06 ) 
569 ( -3.044289e+05 , -5.129222e+05 ) 
570 ( -1.618079e+06 , -2.770043e+04 ) 
571 ( -1.876486e+06 , -1.460689e+06 ) 
572 ( -1.344861e+06 , -2.078171e+06 ) 
573 ( 4.231650e+05 , -6.527630e+05 ) 
574 ( 8.968735e+05 , -1.292958e+04 ) 
575 ( -8.374645e+05 , 8.139111e+05 ) 
576 ( -9.714504e+05 , 5.850871e+05 ) 
577 ( 1.378436e+06 , -1.645218e+06 ) 
578 ( 1.925035e+06 , -1.014107e+05 ) 
579 ( 1.533475e+06 , 6.520686e+04 ) 
580 ( 2.019568e+06 , -4.323016e+05 ) 
581 ( 5.131210e+05 , 3.439992e+05 ) 
582 ( 7.065028e+05 , 9.250080e+05 ) 
583 ( 4.421379e+04 , 1.989585e+04 ) 
584 ( 1.464583e+06 , 3.470317e+05 ) 
585 ( 1.180737e+06 , 9.083098e+05 ) 
586 ( 7.985378e+05 , 8.652163e+05 ) 
587 ( 1.667048e+05 , 2.161961e+05 ) 
588 ( 1.065780e+06 , 1.088065e+06 ) 
589 ( -1.759307e+06 , -6.002732e+05 ) 
590 ( 6.386447e+05 , -1.575647e+06 ) 
591 ( 1.382645e+06 , -6.270241e+05 ) 
592 ( 6.439574e+05 , 1.638786e+05 ) 
593 ( -9.025768e+05 , -1.651512e+06 ) 
594 ( 2.273884e+06 , 4.958419e+05 ) 
595 ( 3.301515e+06 , 7.177004e+03 ) 
596 ( 1.565089e+06 , -1.632262e+06 ) 
597 ( -4.436525e+05 , 3.132771e+06 ) 
598 ( -5.327961e+05 , 1.957522e+06 ) 
599 ( 8.723231e+05 , -6.704562e+04 ) 
600 ( 1.872415e+06 , 1.657583e+06 ) 
601 ( -1.187848e+06 , 1.845892e+06 ) 
602 ( 6.460524e+05 , 1.752693e+06 ) 
603 ( 2.742656e+05 , -3.980968e+05 ) 
604 ( -7.433454e+05 , 1.527238e+06 ) 
605 ( 1.563783e+06 , 1.491962e+06 ) 
606 ( 1.593780e+06 , 2.323749e+06 ) 
607 ( 1.478259e+06 , 1.846526e+06 ) 
608 ( 1.875795e+06 , 2.325565e+06 ) 
609 ( 2.723413e+05 , 4.609167e+05 ) 
610 ( 1.024727e+06 , 9.789903e+05 ) 
611 ( -5.969293e+05 , 2.638804e+05 ) 
612 ( 9.536857e+05 , 1.624032e+06 ) 
613 ( 2.520161e+06 , 1.184449e+06 ) 
614 ( 3.205146e+06 , 2.342480e+06 ) 
615 ( 2.171728e+06 , 1.847750e+06 ) 
616 ( 2.355598e+06 , 1.513676e+06 ) 
617 ( -1.716022e+06 , -5.198156e+04 ) 
618 ( 9.193215e+05 , -7.916559e+05 ) 
619 ( 2.108201e+06 , 5.553773e+05 ) 
620 ( 2.478631e+06 , 1.677432e+06 ) 
621 ( -1.532933e+06 , 1.234225e+06 ) 
622 ( 1.025313e+06 , 6.534311e+05 ) 
623 ( 1.933877e+06 , -2.093824e+06 ) 
624 ( 9.564782e+05 , -1.214400e+06 ) 
625 ( -1.403740e+06 , 4.742186e+06 ) 
626 ( -8.022008e+05 , 1.868589e+06 ) 
627 ( 9.025998e+05 , -8.267672e+05 ) 
628 ( 7.786245e+05 , 1.811712e+06 ) 
629 ( -6.080239e+05 , 1.592811e+06 ) 
630 ( 1.849825e+06 , 1.452755e+06 ) 
631 ( 1.005121e+06 , -5.073436e+05 ) 
632 ( -4.116426e+05 , 1.213062e+06 ) 
633 ( 1.024650e+06 , 3.011448e+06 ) 
634 ( 1.425969e+06 , 2.808307e+06 ) 
635 ( 2.110528e+06 , 1.435779e+06 ) 
636 ( 2.666203e+06 , 2.365192e+06 ) 
637 ( 3.871413e+04 , 5.108455e+05 ) 
638 ( 2.709527e+06 , 9.367568e+05 ) 
639 ( 6.273278e+05 , 4.112710e+05 ) 
640 ( 9.833967e+05 , 1.909586e+06 ) 
641 ( 3.814011e+06 , 1.309051e+06 ) 
642 ( 4.017117e+06 , 4.071121e+06 ) 
643 ( 2.593903e+06 , 3.155786e+06 ) 
644 ( 4.213603e+06 , 1.888763e+06 ) 
645 ( -2.424433e+06 , 1.007000e+06 ) 
646 ( 3.042457e+05 , -8.635744e+04 ) 
647 ( 1.063220e+06 , 1.192244e+06 ) 
648 ( 2.305206e+06 , 3.537122e+06 ) 
649 ( -4.230771e+06 , -1.554797e+06 ) 
650 ( 3.492877e+05 , 6.208933e+05 ) 
651 ( 4.755137e+05 , 1.165422e+06 ) 
652 ( -2.867134e+05 , -1.489513e+05 ) 
653 ( 2.978603e+06 , 5.841502e+05 ) 
654 ( 5.641385e+06 , 1.269577e+06 ) 
655 ( -1.779652e+06 , 1.718832e+06 ) 
656 ( 3.955234e+05 , 1.360958e+06 ) 
657 ( -5.467998e+05 , -1.144706e+06 ) 
658 ( 1.939578e+06 , -7.227996e+05 ) 
659 ( -1.947519e+06 , 2.062291e+05 ) 
660 ( 7.149623e+05 , 5.017370e+05 ) 
661 ( -1.546536e+06 , -1.379252e+06 ) 
662 ( 5.993353e+06 , -8.191417e+05 ) 
663 ( 1.673446e+06 , 4.108015e+05 ) 
664 ( 4.491332e+05 , -8.122915e+05 ) 
665 ( -1.373285e+06 , -1.023846e+05 ) 
666 ( -2.128148e+06 , -1.749607e+06 ) 
667 ( -8.725016e+05 , -1.922063e+06 ) 
668 ( 1.138270e+06 , -1.088529e+06 ) 
669 ( -4.530457e+05 , -7.510179e+05 ) 
670 ( -1.312086e+06 , -2.187185e+06 ) 
671 ( -9.443779e+05 , -2.181100e+06 ) 
672 ( -1.894975e+06 , -1.907821e+06 ) 
673 ( -1.573224e+06 , -1.549309e+06 ) 
674 ( -2.007077e+06 , -2.896222e+06 ) 
675 ( -8.522828e+05 , -2.216152e+06 ) 
676 ( -1.524301e+06 , -2.459245e+06 ) 
677 ( -1.361978e+06 , -1.459066e+06 ) 
678 ( -1.444629e+06 , -2.345881e+06 ) 
679 ( -3.055828e+05 , -2.334813e+06 ) 
680 ( -1.745711e+06 , -2.875933e+06 ) 
681 ( 1.474600e+05 , -7.399226e+05 ) 
682 ( -9.571235e+05 , -3.658743e+05 ) 
683 ( -1.664835e+06 , -1.141800e+06 ) 
684 ( -1.313221e+06 , -1.819191e+06 ) 
685 ( 1.308602e+06 , 1.640852e+05 ) 
686 ( -1.716228e+06 , -1.105114e+06 ) 
687 ( -2.008409e+06 , -1.636846e+05 ) 
688 ( -7.471417e+05 , 7.171458e+04 ) 
689 ( -7.626904e+05 , -2.479568e+06 ) 
690 ( -1.529039e+06 , -4.087324e+06 ) 
691 ( -3.243872e+06 , -2.813862e+06 ) 
692 ( -2.184990e+06 , -2.478506e+06 ) 
693 ( -2.260426e+05 , -2.299289e+06 ) 
694 ( -3.757885e+05 , -2.080325e+06 ) 
695 ( 1.174745e+04 , -1.471035e+06 ) 
696 ( -5.298929e+05 , -3.688503e+06 ) 
697 ( -3.635033e+05 , -1.258597e+05 ) 
698 ( -1.437450e+06 , -2.183238e+06 ) 
699 ( -1.030741e+06 , -2.735275e+06 ) 
700 ( -5.958353e+05 , -1.804176e+06 ) 
701 ( -2.420638e+06 , -1.136109e+06 ) 
702 ( -2.241083e+06 , -1.554911e+06 ) 
703 ( 1.162570e+05 , -1.349815e+06 ) 
704 ( -1.640203e+06 , -2.189808e+06 ) 
705 ( -6.675516e+05 , 4.543334e+05 ) 
706 ( -1.729906e+06 , -8.093571e+05 ) 
707 ( -1.792392e+06 , -1.911981e+06 ) 
708 ( -2.146507e+06 , -1.274883e+06 ) 
709 ( 1.833799e+05 , 4.990211e+05 ) 
710 ( -1.202231e+06 , 5.521574e+05 ) 
711 ( -1.234090e+06 , -5.666721e+05 ) 
712 ( -1.241992e+06 , -3.483409e+05 ) 
713 ( 6.319389e+05 , -1.862581e+06 ) 
714 ( -1.327582e+05 , -8.044023e+05 ) 
715 ( -1.286755e+06 , 1.544000e+06 ) 
716 ( -9.018685e+05 , 4.497325e+05 ) 
717 ( 5.225156e+05 , -2.178745e+06 ) 
718 ( -1.160658e+05 , -9.385959e+05 ) 
719 ( 5.393909e+04 , 2.476937e+05 ) 
720 ( 3.905939e+05 , -1.276742e+06 ) 
721 ( -4.716145e+04 , -1.103862e+06 ) 
722 ( -5.779958e+05 , -2.457168e+05 ) 
723 ( -6.607635e+05 , 1.097041e+06 ) 
724 ( -3.270310e+05 , -4.818599e+05 ) 
725 ( 3.525967e+05 , -1.742354e+05 ) 
726 ( -9.567385e+05 , -9.449458e+05 ) 
727 ( -4.979538e+05 , -7.183042e+05 ) 
728 ( -3.177218e+05 , -5.088565e+05 ) 
729 ( -1.537758e+06 , -3.973974e+05 ) 
730 ( -2.542988e+06 , -1.956964e+04 ) 
731 ( -6.378145e+05 , 2.131813e+05 ) 
732 ( -1.340298e+06 , -8.181042e+05 ) 
733 ( -1.282139e+06 , 1.641973e+06 ) 
734 ( -2.898542e+06 , -2.653717e+05 ) 
735 ( -2.054025e+06 , -5.042655e+05 ) 
736 ( -2.761725e+06 , 2.493029e+05 ) 
737 ( -4.567466e+05 , -1.670737e+05 ) 
738 ( -3.142413e+04 , -7.386751e+05 ) 
739 ( -4.501860e+05 , -8.775053e+05 ) 
740 ( -2.061715e+06 , -7.867279e+05 ) 
741 ( 1.291258e+06 , 3.288727e+04 ) 
742 ( 3.578979e+05 , 6.032512e+05 ) 
743 ( -8.004985e+01 , 1.234685e+06 ) 
744 ( 8.363838e+05 , -1.658074e+04 ) 
745 ( 2.441214e+05 , 1.499852e+06 ) 
746 ( 7.981882e+04 , 1.075320e+06 ) 
747 ( 3.757524e+05 , 8.932047e+04 ) 
748 ( 5.423958e+05 , 7.248130e+05 ) 
749 ( -7.631164e+05 , 9.284816e+05 ) 
750 ( -6.603344e+05 , -6.729137e+05 ) 
751 ( 6.600478e+04 , -3.308835e+05 ) 
752 ( -9.588779e+04 , 7.266967e+05 ) 
753 ( -1.142068e+06 , 1.965796e+05 ) 
754 ( -1.410987e+06 , 1.299501e+06 ) 
755 ( -8.866998e+05 , -6.306066e+04 ) 
756 ( -9.075158e+05 , -7.484044e+05 ) 
757 ( 1.014932e+06 , 1.830341e+06 ) 
758 ( -8.170273e+05 , 2.432775e+06 ) 
759 ( -1.841429e+06 , 2.743900e+06 ) 
760 ( -1.094028e+06 , 2.440539e+06 ) 
761 ( 3.275130e+05 , -8.632227e+05 ) 
762 ( 3.390804e+05 , 9.565609e+05 ) 
763 ( -1.221268e+06 , 2.200216e+06 ) 
764 ( -6.316889e+05 , 1.623891e+06 ) 
765 ( 1.327252e+06 , -5.736051e+05 ) 
766 ( 1.270415e+06 , 2.278219e+06 ) 
767 ( 6.857351e+05 , 3.305271e+06 ) 
768 ( 1.216852e+06 , 1.348887e+06 ) 
769 ( 1.399411e+06 , 9.455009e+04 ) 
770 ( 1.460269e+06 , 2.805037e+06 ) 
771 ( -1.134268e+06 , 3.716694e+06 ) 
772 ( 8.965642e+05 , 2.538723e+06 ) 
773 ( 2.270835e+06 , -3.474685e+05 ) 
774 ( 9.802450e+05 , 1.259193e+06 ) 
775 ( 1.030020e+06 , 3.202341e+06 ) 
776 ( 2.381822e+06 , 2.612289e+06 ) 
777 ( -3.810580e+05 , -4.459231e+05 ) 
778 ( 5.668450e+05 , 1.131444e+06 ) 
779 ( -6.358671e+05 , 1.295282e+06 ) 
780 ( -2.171408e+06 , 6.795236e+05 ) 
781 ( 4.246398e+04 , 6.086377e+05 ) 
782 ( 1.038676e+06 , 1.677126e+06 ) 
783 ( 1.091865e+06 , 2.873718e+06 ) 
784 ( 1.815752e+06 , 1.698942e+06 ) 
785 ( -4.518571e+06 , -5.228313e+05 ) 
786 ( 3.846973e+06 , 2.473937e+06 ) 
787 ( -9.292474e+05 , 2.497669e+06 ) 
788 ( 2.284362e+06 , 1.451974e+06 ) 
789 ( 1.602531e+04 , 9.175429e+05 ) 
790 ( -1.517997e+06 , 1.305203e+06 ) 
791 ( 2.804568e+06 , 3.242009e+06 ) 
792 ( 5.188397e+06 , 3.115695e+06 ) 
793 ( -1.394405e+06 , -2.575493e+06 ) 
794 ( 8.126986e+05 , -1.896484e+06 ) 
795 ( -1.824487e+06 , -1.826485e+06 ) 
796 ( -2.430107e+06 , -7.618388e+05 ) 
797 ( 2.081193e+06 , 2.176611e+05 ) 
798 ( 5.451260e+06 , 2.406856e+06 ) 
799 ( 7.426193e+05 , 2.247229e+06 ) 
800 ( 1.445266e+06 , -2.072271e+05 ) 
801 ( -1.328253e+06 , -1.800710e+06 ) 
802 ( -5.866026e+05 , -3.116988e+06 ) 
803 ( -1.163117e+06 , -3.930516e+04 ) 
804 ( 9.730749e+05 , 1.277875e+06 ) 
805 ( -5.672989e+05 , -1.831230e+06 ) 
806 ( 9.932240e+05 , -1.497415e+06 ) 
807 ( 2.267613e+06 , -2.995438e+06 ) 
808 ( 5.127035e+05 , -3.813023e+06 ) 
809 ( -1.639528e+06 , 1.463604e+06 ) 
810 ( -8.832625e+05 , -8.550919e+05 ) 
811 ( 4.056238e+05 , -2.060579e+06 ) 
812 ( 2.543888e+05 , -4.335146e+05 ) 
813 ( -5.132405e+05 , 4.374161e+05 ) 
814 ( 4.220821e+05 , -5.391811e+05 ) 
815 ( 7.557174e+05 , -2.788885e+06 ) 
816 ( -4.776922e+05 , -1.288814e+06 ) 
817 ( -8.786724e+05 , 1.227886e+06 ) 
818 ( -2.814351e+05 , -8.410099e+05 ) 
819 ( 9.618437e+05 , -1.751462e+06 ) 
820 ( 4.554723e+05 , -6.719926e+04 ) 
821 ( -5.986348e+05 , -8.776879e+05 ) 
822 ( 9.382704e+05 , -1.114640e+06 ) 
823 ( 5.200342e+05 , -2.192621e+06 ) 
824 ( -2.144863e+05 , -1.514555e+06 ) 
825 ( 8.155848e+05 , 6.977705e+05 ) 
826 ( 2.578598e+06 , 1.667806e+05 ) 
827 ( 2.495836e+06 , -6.951626e+05 ) 
828 ( 1.913840e+06 , -2.732532e+05 ) 
829 ( -1.754734e+05 , -7.167151e+05 ) 
830 ( 1.998246e+06 , -1.418151e+06 ) 
831 ( 2.569236e+06 , -1.975715e+06 ) 
832 ( 2.503577e+06 , -4.894621e+05 ) 
833 ( 2.395591e+05 , -2.804201e+05 ) 
834 ( 1.089133e+06 , 7.464847e+05 ) 
835 ( 2.126231e+06 , -4.109991e+05 ) 
836 ( 2.002268e+06 , -9.669781e+05 ) 
837 ( -1.313250e+06 , 1.575029e+06 ) 
838 ( -1.379243e+06 , 4.346273e+05 ) 
839 ( 3.060128e+05 , -7.094173e+05 ) 
840 ( 2.637766e+05 , 1.089064e+06 ) 
841 ( -7.300567e+05 , -7.853387e+05 ) 
842 ( -6.118002e+05 , -7.619819e+05 ) 
843 ( -8.987033e+05 , -1.811883e+06 ) 
844 ( -6.425752e+05 , -1.362212e+06 ) 
845 ( -8.570980e+04 , 5.218550e+04 ) 
846 ( 1.053845e+06 , 6.238516e+05 ) 
847 ( 1.457998e+06 , 9.559846e+05 ) 
848 ( 1.771072e+05 , 1.276399e+05 ) 
849 ( -2.597889e+05 , -6.555964e+04 ) 
850 ( 1.584787e+06 , -5.853862e+05 ) 
851 ( 1.569133e+06 , -7.130227e+05 ) 
852 ( 1.315370e+06 , 2.094001e+05 ) 
853 ( -1.366847e+06 , 1.259482e+06 ) 
854 ( 6.316819e+05 , -1.118305e+06 ) 
855 ( 3.216656e+06 , -2.903325e+06 ) 
856 ( 1.821531e+06 , -8.235051e+05 ) 
857 ( -1.649249e+06 , 1.611182e+06 ) 
858 ( 2.307241e+05 , 1.572234e+05 ) 
859 ( 1.018086e+06 , -2.341723e+06 ) 
860 ( 1.511813e+05 , -9.217026e+05 ) 
861 ( -3.771304e+05 , 2.528386e+06 ) 
862 ( -3.898551e+05 , -5.894385e+05 ) 
863 ( 1.668198e+06 , -2.314265e+06 ) 
864 ( 7.944697e+05 , 3.751269e+05 ) 
865 ( -2.994214e+06 , 2.201637e+06 ) 
866 ( -1.804944e+06 , -2.297735e+05 ) 
867 ( -1.549461e+04 , -3.359184e+06 ) 
868 ( -1.354533e+06 , -1.011478e+06 ) 
869 ( -5.039532e+05 , 2.388150e+06 ) 
870 ( 1.204255e+05 , -1.894052e+05 ) 
871 ( 1.185558e+06 , -1.440980e+06 ) 
872 ( -7.065936e+05 , 3.139546e+05 ) 
873 ( -1.082559e+06 , 8.666006e+05 ) 
874 ( -6.414960e+05 , 4.073582e+05 ) 
875 ( -1.266672e+04 , -1.832060e+06 ) 
876 ( -1.195154e+05 , -6.419707e+05 ) 
877 ( -6.012601e+04 , 2.837903e+06 ) 
878 ( -4.124672e+05 , 1.243584e+06 ) 
879 ( 4.388846e+05 , 3.340406e+05 ) 
880 ( -1.711034e+05 , 1.404135e+06 ) 
881 ( -1.614708e+06 , 1.502034e+06 ) 
882 ( -2.245804e+06 , -2.948391e+05 ) 
883 ( -1.202548e+06 , -2.049699e+06 ) 
884 ( -1.060475e+06 , 2.348103e+05 ) 
885 ( -1.056575e+05 , 2.348850e+06 ) 
886 ( -7.695782e+05 , 9.358203e+05 ) 
887 ( -1.032450e+06 , 1.482133e+05 ) 
888 ( -1.796500e+06 , 4.514422e+05 ) 
889 ( -4.830845e+05 , -1.458251e+06 ) 
890 ( -1.582830e+05 , -8.316923e+05 ) 
891 ( 6.682146e+05 , 3.727765e+05 ) 
892 ( -1.101980e+05 , 1.375951e+05 ) 
893 ( -6.326642e+05 , 1.769981e+06 ) 
894 ( -2.683660e+06 , 1.530432e+06 ) 
895 ( -1.711068e+06 , 2.034753e+04 ) 
896 ( -8.345932e+05 , -1.695154e+05 ) 
897 ( -1.106407e+06 , 8.573288e+05 ) 
898 ( -6.755332e+05 , 1.190159e+06 ) 
899 ( -1.328094e+06 , 1.098294e+06 ) 
900 ( -2.567732e+06 , 1.622842e+06 ) 
901 ( 2.745935e+06 , -1.239829e+06 ) 
902 ( 1.384018e+05 , 1.586890e+06 ) 
903 ( -1.538685e+06 , 3.753224e+06 ) 
904 ( 3.705521e+05 , 1.346724e+06 ) 
905 ( 1.229060e+06 , -1.847320e+06 ) 
906 ( -4.260172e+05 , 5.142182e+04 ) 
907 ( -2.198076e+06 , 2.829488e+06 ) 
908 ( -2.813406e+05 , 1.115095e+06 ) 
909 ( 1.615480e+06 , -2.357674e+06 ) 
910 ( 1.462901e+05 , 8.388206e+05 ) 
911 ( -1.302020e+06 , 3.856998e+06 ) 
912 ( -6.034206e+04 , 1.446162e+05 ) 
913 ( 1.813069e+06 , -1.633760e+06 ) 
914 ( -3.969989e+03 , 4.199260e+05 ) 
915 ( -1.496801e+06 , 2.847330e+06 ) 
916 ( 2.225150e+05 , 7.722798e+05 ) 
917 ( 8.846886e+05 , -1.248706e+06 ) 
918 ( -1.074986e+06 , 1.528251e+06 ) 
919 ( -1.547390e+06 , 3.902143e+06 ) 
920 ( -2.211796e+05 , 7.628850e+05 ) 
921 ( 1.677181e+06 , -1.075889e+06 ) 
922 ( -1.545427e+06 , -1.352160e+06 ) 
923 ( -1.332331e+06 , 1.339852e+06 ) 
924 ( -1.654884e+06 , 9.964636e+05 ) 
925 ( 1.232245e+06 , -2.269335e+06 ) 
926 ( -1.495106e+06 , -3.280956e+05 ) 
927 ( -2.461804e+06 , 4.159111e+05 ) 
928 ( -5.484708e+06 , -1.831484e+06 ) 
929 ( 1.663385e+06 , -5.239957e+05 ) 
930 ( -1.524638e+05 , -6.267656e+05 ) 
931 ( 5.330087e+05 , 1.916432e+06 ) 
932 ( -4.270896e+06 , 4.431451e+05 ) 
933 ( 1.432231e+06 , -2.158850e+06 ) 
934 ( 1.092527e+06 , -1.806223e+06 ) 
935 ( -3.935018e+06 , -1.296020e+06 ) 
936 ( -3.217990e+06 , -1.819586e+06 ) 
937 ( -1.166990e+06 , -1.763592e+06 ) 
938 ( 1.008131e+06 , -4.792293e+05 ) 
939 ( -1.087198e+06 , -2.143558e+05 ) 
940 ( -1.670745e+06 , -1.078155e+06 ) 
941 ( 2.251870e+06 , 8.697933e+05 ) 
942 ( 7.581417e+05 , 4.438127e+05 ) 
943 ( -2.006070e+06 , 9.966851e+05 ) 
944 ( -1.715503e+06 , 3.885665e+05 ) 
945 ( -9.169516e+05 , -1.166267e+06 ) 
946 ( -2.608052e+06 , -1.695721e+06 ) 
947 ( -4.548543e+06 , -6.337009e+05 ) 
948 ( -3.238249e+06 , -3.649577e+05 ) 
949 ( 1.808468e+06 , -3.260008e+06 ) 
950 ( -3.409506e+05 , -1.823433e+06 ) 
951 ( -9.478786e+05 , 2.387096e+05 ) 
952 ( -1.076451e+06 , -1.889807e+06 ) 
953 ( -4.445397e+05 , -2.713836e+06 ) 
954 ( -1.978260e+06 , -1.044134e+06 ) 
955 ( -2.469757e+06 , 6.683470e+05 ) 
956 ( -1.180811e+06 , -1.623521e+06 ) 
957 ( 8.603513e+05 , -2.888564e+06 ) 
958 ( 6.249095e+05 , -2.014508e+06 ) 
959 ( -3.608512e+05 , 6.658905e+05 ) 
960 ( -1.018366e+06 , -1.065942e+06 ) 
961 ( 4.120461e+05 , -3.739527e+06 ) 
962 ( 8.271646e+04 , -1.326958e+06 ) 
963 ( -3.264373e+05 , 3.416835e+05 ) 
964 ( 6.952426e+05 , -2.295424e+06 ) 
965 ( 7.690511e+05 , -1.686267e+06 ) 
966 ( 1.497549e+05 , -8.619872e+05 ) 
967 ( -3.227261e+05 , 1.033003e+06 ) 
968 ( 2.176426e+05 , -6.665197e+05 ) 
969 ( -7.166970e+05 , -2.348587e+06 ) 
970 ( -7.604411e+05 , -1.578409e+06 ) 
971 ( -1.904782e+05 , -4.089393e+05 ) 
972 ( -1.829042e+05 , -1.430597e+06 ) 
973 ( -3.614594e+04 , -7.115518e+05 ) 
974 ( 6.306450e+05 , -1.037294e+06 ) 
975 ( 3.288735e+05 , -4.290780e+05 ) 
976 ( -3.100430e+05 , -1.183681e+06 ) 
977 ( -7.416789e+05 , -2.447813e+06 ) 
978 ( 3.836214e+05 , -1.460130e+06 ) 
979 ( 1.216262e+06 , 5.030461e+04 ) 
980 ( 8.161200e+05 , -1.357139e+06 ) 
981 ( -8.289823e+05 , -2.898656e+05 ) 
982 ( 4.454644e+05 , -9.864572e+04 ) 
983 ( 1.134307e+06 , -7.333724e+05 ) 
984 ( 4.429139e+05 , -1.059419e+06 ) 
985 ( 2.724992e+05 , 1.000634e+06 ) 
986 ( 5.176695e+05 , 6.838921e+05 ) 
987 ( 1.818167e+05 , -5.520146e+05 ) 
988 ( 5.852539e+05 , 2.981142e+05 ) 
989 ( -9.977486e+05 , -4.605630e+05 ) 
990 ( 1.375204e+06 , -1.634632e+06 ) 
991 ( 1.799831e+06 , -2.677267e+05 ) 
992 ( 7.285877e+05 , 2.920445e+05 ) 
993 ( -1.349672e+05 , -9.663340e+04 ) 
994 ( 1.855811e+06 , -7.458827e+05 ) 
995 ( 2.055616e+06 , -3.199864e+06 ) 
996 ( 1.980011e+06 , -2.198487e+06 ) 
997 ( -2.383565e+06 , 3.540200e+06 ) 
998 ( -1.120033e+06 , 6.282883e+05 ) 
999 ( 1.656425e+06 , -2.067558e+06 ) 
1000 ( 1.078427e+06 , 4.382049e+05 ) 
1001 ( -2.448010e+06 , 2.796969e+06 ) 
1002 ( 1.368480e+06 , 3.511812e+05 ) 
1003 ( 2.493390e+06 , -4.266992e+06 ) 
1004 ( -7.153632e+05 , -4.393047e+04 ) 
1005 ( -1.485363e+06 , 4.726693e+06 ) 
1006 ( 1.362379e+05 , 1.920951e+06 ) 
1007 ( 2.868032e+06 , -1.954567e+06 ) 
1008 ( 1.783753e+06 , 1.428572e+06 ) 
1009 ( -1.965931e+06 , 2.955547e+06 ) 
1010 ( 9.858523e+05 , 2.604989e+04 ) 
1011 ( 2.029051e+06 , -3.826061e+06 ) 
1012 ( -4.448197e+04 , 9.619165e+05 ) 
1013 ( -1.131338e+06 , 4.341660e+06 ) 
1014 ( 1.257329e+06 , 2.202667e+06 ) 
1015 ( 2.803924e+06 , -1.886944e+06 ) 
1016 ( 1.582464e+06 , 8.537048e+05 ) 
1017 ( -2.405264e+05 , 1.878209e+06 ) 
1018 ( 3.063480e+06 , -1.753178e+05 ) 
1019 ( 2.973519e+06 , -2.074178e+06 ) 
1020 ( 1.700049e+06 , 1.568561e+06 ) 
1021 ( -3.113669e+04 , 1.670148e+06 ) 
1022 ( 2.136002e+06 , 2.299386e+06 ) 
1023 ( 3.393644e+06 , -5.469164e+05 ) 
1024 ( 3.425540e+06 , 1.614638e+05 ) 
